"","AreaCode","grand_mean","health_outcomes","health_outcomes.rank","overall.rank","risk_factors","risk_factors.rank","social_determinants","social_determinants.rank"
"76","E08000022",-0.108599739155229,-0.0437339806129543,64,53,-0.437706092886936,20,0.155640856034203,98
"77","E08000023",-0.429272828921112,-0.458367363172686,23,16,-0.599570589988844,8,-0.229880533601808,46
"78","E08000024",-0.626933805278803,-0.727058779772063,12,8,-0.779726185092469,4,-0.374016450971879,23
"79","E08000025",-0.422243828055628,-0.383205928517157,28,17,-0.122896871784587,56,-0.76062868386514,5
"80","E08000026",-0.259833848732391,-0.258193015165544,43,39,-0.151226843526268,49,-0.370081687505362,25
"81","E08000027",-0.147707946352368,-0.238503923828415,47,48,-0.294784412854531,31,0.0901644976258413,83
"82","E08000028",-0.581145306215045,-0.810137729038982,10,9,-0.481554736849,15,-0.451743452757154,15
"83","E08000029",0.146738940415404,-0.0157903930562767,65,95,0.23242359686694,107,0.22358361743555,108
"84","E08000030",-0.296953466304969,-0.24311858257275,45,32,-0.321142457447575,28,-0.326599358894583,28
"85","E08000031",-0.532671145076092,-0.374432556493512,30,11,-0.495595244867902,13,-0.727985633866863,8
"86","E08000032",-0.252712907727812,-0.211771634194173,49,40,-0.17594182876661,45,-0.370425260222653,24
"87","E08000033",-0.0919055245789753,0.0280911835925019,69,57,-0.312850322764064,30,0.00904256543463645,77
"88","E08000034",-0.171682202431007,-0.105899721300452,58,46,-0.121156880644688,58,-0.28799000534788,35
"89","E08000035",-0.267649679454345,-0.314399718117721,34,38,-0.250389862274805,38,-0.238159457970508,45
"90","E08000036",-0.347527335095833,-0.351092858021996,32,25,-0.386229001004295,23,-0.305260146261209,31
"91","E08000037",-0.283148068132666,-0.276490088821854,40,37,-0.54979265413249,11,-0.0231614614436544,74
"92","E09000002",-0.186421311023987,-0.304665510500649,35,45,-0.00412211903461721,74,-0.250476303536696,41
"93","E09000003",0.44252035686631,0.531723698621664,136,134,0.524576649168872,139,0.271260722808394,111
"94","E09000004",0.282543704140989,0.35573318534774,117,117,0.203999408135436,104,0.28789851893979,116
"95","E09000005",0.120707846304586,0.397006792714558,123,89,0.148088337126071,95,-0.182971590926869,51
"96","E09000006",0.518355770305395,0.427345981489981,125,140,0.59844993447332,143,0.529271394952883,137
"97","E09000007",0.413363053922135,0.846090543377225,148,129,0.479726583286796,134,-0.0857279648976171,64
"98","E09000008",0.000361034180099917,0.18968297738883,91,70,0.245934173447054,108,-0.434534048295585,17
"99","E09000009",0.195521208629622,0.292285570054152,108,107,0.324094730939149,118,-0.029816675104436,73
"100","E09000010",0.120881947548912,0.391606834474571,120,90,0.358991066153227,121,-0.387952057981063,21
"101","E09000011",-0.0720977614503724,-0.116574839006058,57,62,0.122098731787225,92,-0.221817177132284,47
"102","E09000012",-0.0730202673861236,-0.0710908548672698,62,61,0.151803731911015,97,-0.299773679202116,34
"103","E09000013",0.0712381002156874,0.0680325776976755,74,80,0.289211078589213,115,-0.143529355639826,58
"104","E09000014",0.0949540680975653,0.191635796433695,92,84,0.396952530083948,128,-0.303726122224947,33
"105","E09000015",0.460768732939372,0.555253868762088,137,135,0.540292914290341,140,0.286759415765687,115
"106","E09000016",0.190392726375614,0.281516596203701,106,105,5.59029553310412e-05,76,0.289605679967811,117
