"","Stand dev","Mean","n","Median","CoeffofVariation","Minimum","Maximun","Upper Quantile.100%","LowerQuartile.0%"
"X91163",1.93713648043795,12.1637796421014,150,12.045692570135,0.15925448647007,7.38029931742633,16.7779001877396,16.7779001877396,7.38029931742633
"X91164",1.35594849950861,10.6020571042511,150,10.4796404172403,0.12789484966695,6.71123545468087,15.2258091933902,15.2258091933902,6.71123545468087
"X91414",139.118189917765,651.437573629397,150,637.364485605218,0.213555673712044,393.80042042175,1096.52359856933,1096.52359856933,393.80042042175
"X92443",2.97086606101343,15.1637346666667,150,14.94345,0.195919153580553,8.1314,23.0691,23.0691,8.1314
"X92527",0.206627505851706,2.4148,150,2.385,0.0855671301357072,2.01,3.26,3.26,2.01
"X92588",2.36511298349309,9.90025947026511,150,9.88359818954635,0.238894040160925,4.19816702056234,15.2798601670227,15.2798601670227,4.19816702056234
"X92904",17.8474235400769,34.9515797105042,150,32.7175455455005,0.510632815108873,6.75368984045877,106.454060542916,106.454060542916,6.75368984045877
"X93014",5.00472895313599,65.25400760416,150,65.8038040951,0.0766961162522826,53.3360977522967,78.0184893930702,78.0184893930702,53.3360977522967
"X93077",4.77941277023329,56.935218632801,150,56.9073207245292,0.0839447513332252,45.732786361745,68.7599697567428,68.7599697567428,45.732786361745
"X93088",5.8645101780497,61.6079763453479,150,62.1943550204051,0.0951907614230953,40.4680714750875,74.9474668657401,74.9474668657401,40.4680714750875
"X93347",8.02299300705968,77.0806306506036,150,78.2398709749739,0.104085720878788,54.3050775354539,97.4605068094874,97.4605068094874,54.3050775354539
"X20101.1",0.640183126271992,2.84450959348667,150,2.7699336115,0.225059225582462,1.569620253,5.29986053,5.29986053,1.569620253
"X40401",17.5088755735033,77.341136854171,150,75.5665477843351,0.226385029825936,43.9826097441374,133.447488687213,133.447488687213,43.9826097441374
"X40602",5.44101067630267,17.7147040127813,150,16.6756873877282,0.307146575656977,9.5129380913692,43.0339731336584,43.0339731336584,9.5129380913692
"X40702",7.79547238139707,20.6560288380217,150,19.6499339879025,0.377394534183061,7.47995639472065,46.400695194138,46.400695194138,7.47995639472065
"X41001",2.15630188096604,9.87914262461689,150,9.49235604101111,0.218268119299437,6.0542160564285,17.9279820833366,17.9279820833366,6.0542160564285
"X41101",1.06718577413216,11.8476,150,11.905,0.0900761144984777,8.81,14.53,14.53,8.81
"X41201",42.6548508429895,108.700999742827,150,107.562385892859,0.392405322342073,11.6912572778077,299.938698660128,299.938698660128,11.6912572778077
"X41202",7.62755658089994,13.8155557638514,150,12.430346375449,0.552099149051793,-1.95715890221747,70.2899460273629,70.2899460273629,-1.95715890221747
"X41204",15.7663675242596,41.6138191608373,150,40.5671943116273,0.378873360873766,6.31846650817846,129.964222492774,129.964222492774,6.31846650817846
"X41402",43.5019768394339,252.101830205333,150,245.22115295,0.172557163920635,157.5174275,382.3122022,382.3122022,157.5174275
"X41403",224.654782194542,1526.48928212467,150,1532.5257855,0.147170887359165,934.4310875,2403.611958,2403.611958,934.4310875
"X90287",0.355408345500535,1.15353736367969,150,1.12612666890929,0.308103020058934,0.393925426609757,2.4881453813346,2.4881453813346,0.393925426609757
"X90360",7.40319109532748,21.3382603642518,150,21.3301353049263,0.346944454184752,-2.77777777777778,42.4137931034483,42.4137931034483,-2.77777777777778
"X90361",10.2692342096587,30.8033081333333,150,30.17135,0.333380887702319,5.325444,72.16274,72.16274,5.325444
"X90641",4.06861317759167,20.7448875733333,150,20.714925,0.196126065432222,4.347826,34.37979,34.37979,4.347826
"X90642",5.84734412529144,29.4546157333333,150,29.35621,0.198520468853854,11.11111,44.45741,44.45741,11.11111
"X91096",77.915009578857,374.697333333333,150,366.75,0.20794119052228,164.8,570.4,570.4,164.8
"X91195",0.0301288897798454,0.730108077936161,150,0.733449985333066,0.0412663421900665,0.634258799038185,0.793149537529684,0.793149537529684,0.634258799038185
"X92196.1",1.16692309812555,3.82555235086001,150,3.59014389831535,0.305033885593859,1.74172679771087,8.05263674752038,8.05263674752038,1.74172679771087
"X92326",3.28371375163129,11.5357177366467,150,11.257753215,0.284656215295524,5.344918679,20.60819412,20.60819412,5.344918679
"X92327",1.84849679653824,5.38287692341923,150,5.05342893593033,0.343403132346572,2.68229166666667,14.5015447991761,14.5015447991761,2.68229166666667
"X92441",7.67748118431874,75.069966157668,150,76.5053328219822,0.102271008997045,52.8950188487745,93.5896599192284,93.5896599192284,52.8950188487745
"X92718",132.784356705108,1136.86627248133,150,1135.3002935,0.116798571581591,767.2887234,1550.202669,1550.202669,767.2887234
"X92724",127.631051866822,1126.33669685333,150,1121.233917,0.113315185613136,834.6136863,1473.462981,1473.462981,834.6136863
"X92725",123.657595798985,662.968560316,150,642.32005565,0.186521055749679,412.4450366,973.8917237,973.8917237,412.4450366
"X92949",7.33106533974837,69.3533333333333,150,68.75,0.105706027200063,52.5,90.2,90.2,52.5
